genre,color,font_size,left,top
meme,"rgb(145, 145, 105)",105%,962px,6043px
edmonton indie,"rgb(151, 134, 41)",105%,553px,9353px
bow pop,"rgb(67, 164, 178)",105%,411px,17977px
canadian singer-songwriter,"rgb(122, 145, 16)",105%,600px,13664px
jazz blues,"rgb(79, 143, 24)",105%,865px,18982px
new rave,"rgb(188, 125, 70)",105%,813px,2640px
ambient pop,"rgb(103, 149, 145)",105%,361px,13162px
environmental,"rgb(176, 0, 200)",105%,48px,16932px
classic j-pop,"rgb(185, 124, 26)",105%,557px,4604px
neue deutsche harte,"rgb(206, 106, 43)",105%,434px,2841px
dreamo,"rgb(186, 117, 68)",105%,277px,6364px
chillhop,"rgb(117, 144, 152)",105%,1061px,11300px
french rock,"rgb(141, 134, 18)",105%,822px,11447px
tamil hip hop,"rgb(169, 135, 24)",105%,922px,6609px
pakistani hip hop,"rgb(158, 146, 8)",105%,1109px,7231px
background piano,"rgb(17, 171, 232)",105%,541px,20863px
brazilian reggae,"rgb(164, 138, 8)",105%,998px,7342px
stutter house,"rgb(184, 139, 66)",105%,873px,3731px
jam band,"rgb(156, 125, 59)",105%,674px,12909px
coverchill,"rgb(90, 165, 139)",105%,898px,13417px
cantopop,"rgb(137, 142, 5)",105%,616px,10145px
bachata dominicana,"rgb(164, 147, 5)",105%,1230px,7466px
mambo chileno,"rgb(176, 144, 5)",105%,1159px,4142px
nigerian hip hop,"rgb(186, 133, 4)",105%,1081px,9377px
mexican indie,"rgb(166, 135, 48)",105%,668px,5309px
classic swedish pop,"rgb(143, 136, 9)",105%,684px,11152px
bubblegrunge,"rgb(166, 126, 39)",105%,383px,9030px
blues,"rgb(113, 131, 33)",105%,998px,17420px
russian trap,"rgb(169, 142, 10)",105%,1002px,6133px
indonesian pop rock,"rgb(163, 136, 13)",105%,511px,6476px
jazz pop,"rgb(88, 155, 20)",105%,800px,15546px
hare krishna,"rgb(137, 137, 10)",105%,698px,14542px
polish pop,"rgb(167, 136, 10)",105%,678px,6092px
hindi hip hop,"rgb(176, 134, 11)",105%,1112px,5469px
el paso indie,"rgb(183, 118, 70)",105%,359px,8906px
german drill,"rgb(162, 141, 17)",105%,1127px,7044px
schlager,"rgb(199, 127, 5)",105%,744px,3084px
australian psych,"rgb(193, 112, 72)",105%,271px,9735px
turkce drill,"rgb(151, 152, 24)",105%,1038px,4934px
classic canadian rock,"rgb(164, 123, 18)",104%,516px,10034px
comic,"rgb(134, 118, 11)",104%,973px,14378px
golden age hip hop,"rgb(175, 108, 15)",104%,1204px,4075px
japanese vgm,"rgb(121, 141, 181)",104%,426px,10843px
scandipop,"rgb(168, 141, 24)",104%,914px,3841px
indie rock italiano,"rgb(179, 124, 52)",104%,507px,7036px
arabesk,"rgb(149, 134, 9)",104%,613px,13516px
irish singer-songwriter,"rgb(105, 152, 19)",104%,553px,14283px
indie anthem-folk,"rgb(114, 152, 14)",104%,553px,12934px
belgian edm,"rgb(196, 133, 80)",104%,930px,2109px
reggae rock,"rgb(165, 139, 16)",104%,987px,5925px
christian rock,"rgb(210, 105, 16)",104%,286px,3817px
melbourne bounce international,"rgb(209, 121, 80)",104%,1000px,1921px
pop rock brasileiro,"rgb(188, 124, 8)",104%,562px,6109px
rumba,"rgb(163, 130, 50)",104%,922px,12524px
cuarteto,"rgb(194, 131, 2)",104%,922px,7019px
taiwan pop,"rgb(150, 139, 14)",104%,584px,8157px
pagode baiano,"rgb(194, 132, 3)",104%,1098px,12638px
instrumental hip hop,"rgb(163, 126, 108)",104%,910px,6697px
bedroom soul,"rgb(122, 152, 8)",104%,983px,9986px
indie garage rock,"rgb(173, 124, 85)",104%,432px,8857px
minnesota hip hop,"rgb(172, 132, 16)",104%,1021px,6159px
j-pixie,"rgb(211, 109, 24)",104%,365px,3559px
australian electropop,"rgb(174, 139, 44)",104%,763px,3817px
baroque,"rgb(43, 164, 120)",104%,395px,20203px
power pop,"rgb(179, 114, 24)",104%,465px,9674px
australian indie,"rgb(168, 132, 28)",104%,520px,7072px
pop house,"rgb(201, 126, 46)",104%,956px,1763px
c-pop,"rgb(122, 147, 6)",104%,562px,12502px
nz pop,"rgb(137, 146, 16)",104%,805px,7430px
swamp rock,"rgb(159, 121, 20)",104%,791px,11870px
lo-fi chill,"rgb(98, 158, 75)",104%,936px,11250px
post-punk,"rgb(187, 98, 70)",104%,489px,9067px
classic pakistani pop,"rgb(155, 128, 18)",104%,756px,13508px
pop rap brasileiro,"rgb(145, 148, 7)",104%,998px,12127px
lo-fi jazzhop,"rgb(114, 154, 181)",104%,1055px,11164px
viral rap,"rgb(141, 150, 10)",104%,1202px,4576px
turkish folk,"rgb(118, 146, 19)",104%,610px,15526px
memphis soul,"rgb(123, 133, 23)",104%,879px,13741px
punk blues,"rgb(198, 92, 56)",104%,434px,11845px
contemporary vocal jazz,"rgb(80, 156, 14)",104%,800px,16874px
early music,"rgb(43, 164, 121)",104%,387px,20302px
irish pop,"rgb(134, 148, 19)",104%,625px,9910px
vocaloid,"rgb(206, 119, 29)",104%,507px,3185px
indonesian jazz,"rgb(128, 147, 56)",104%,763px,11672px
ska,"rgb(187, 112, 25)",104%,846px,8417px
hip house,"rgb(204, 119, 67)",104%,1068px,1236px
belgian hip hop,"rgb(149, 145, 7)",104%,1070px,10942px
anime score,"rgb(80, 154, 182)",104%,453px,14480px
etherpop,"rgb(130, 146, 57)",104%,513px,10403px
rap dominicano,"rgb(192, 132, 6)",104%,1200px,6031px
sacramento indie,"rgb(182, 116, 49)",104%,409px,8169px
indonesian indie,"rgb(156, 133, 49)",104%,487px,9426px
greek trap,"rgb(163, 148, 4)",104%,1036px,6397px
indie surf,"rgb(191, 119, 66)",104%,367px,6773px
gauze pop,"rgb(152, 145, 57)",104%,739px,6141px
bronx drill,"rgb(171, 126, 2)",104%,1163px,7552px
canadian metal,"rgb(218, 83, 62)",104%,234px,7860px
arab pop,"rgb(163, 130, 9)",104%,744px,9549px
post-punk argentina,"rgb(169, 123, 29)",104%,724px,6834px
j-poprock,"rgb(202, 114, 22)",104%,420px,4333px
aussietronica,"rgb(177, 139, 69)",104%,875px,3313px
danish hip hop,"rgb(169, 132, 15)",104%,1059px,7094px
stoner rock,"rgb(196, 104, 89)",104%,247px,10991px
musica para ninos,"rgb(74, 150, 98)",104%,660px,15681px
shimmer pop,"rgb(168, 136, 44)",104%,562px,5236px
late romantic era,"rgb(38, 154, 141)",104%,324px,21589px
old school atlanta hip hop,"rgb(174, 130, 6)",104%,1088px,4129px
nu-cumbia,"rgb(169, 144, 60)",104%,1057px,4838px
indie r&b,"rgb(127, 150, 14)",104%,896px,9588px
moombahton,"rgb(206, 127, 63)",104%,1008px,2339px
soul blues,"rgb(114, 132, 18)",104%,852px,16182px
old school hip hop,"rgb(180, 106, 17)",104%,1246px,3021px
sertanejo tradicional,"rgb(133, 143, 3)",104%,875px,13527px
dutch rap pop,"rgb(161, 148, 15)",104%,1152px,6258px
nouvelle chanson francaise,"rgb(128, 148, 30)",104%,763px,10979px
deep euro house,"rgb(163, 152, 173)",104%,1306px,881px
protopunk,"rgb(175, 107, 39)",104%,491px,11969px
modern folk rock,"rgb(132, 142, 28)",104%,516px,13051px
new york drill,"rgb(163, 135, 2)",104%,1130px,7737px
world,"rgb(143, 134, 35)",104%,842px,13192px
dance-punk,"rgb(193, 119, 66)",104%,668px,3300px
venezuelan hip hop,"rgb(178, 130, 7)",104%,1092px,11955px
bass house,"rgb(207, 123, 116)",104%,1214px,1506px
desi trap,"rgb(165, 145, 5)",104%,1083px,6841px
indie triste,"rgb(82, 162, 18)",104%,820px,15150px
pinoy hip hop,"rgb(152, 141, 10)",104%,1083px,6510px
bubblegum pop,"rgb(132, 131, 9)",104%,660px,14208px
argentine indie,"rgb(150, 138, 44)",104%,628px,9055px
r&b brasileiro,"rgb(145, 148, 5)",104%,973px,9737px
red dirt,"rgb(160, 138, 4)",104%,507px,8182px
korean pop,"rgb(121, 154, 46)",104%,625px,12240px
crunk,"rgb(171, 131, 4)",104%,1121px,4092px
celtic rock,"rgb(161, 129, 29)",104%,440px,11076px
early romantic era,"rgb(30, 163, 177)",104%,447px,21675px
norteno-sax,"rgb(194, 143, 6)",104%,914px,9212px
alternative emo,"rgb(196, 110, 22)",104%,317px,6512px
spanish indie pop,"rgb(169, 131, 41)",104%,465px,7319px
black americana,"rgb(140, 141, 11)",104%,771px,11548px
romanian pop,"rgb(188, 136, 21)",104%,985px,2798px
previa,"rgb(168, 143, 5)",104%,1292px,3444px
swing,"rgb(78, 136, 79)",104%,926px,19469px
funk pop,"rgb(186, 140, 2)",104%,1161px,3927px
italian indie pop,"rgb(164, 136, 20)",104%,712px,7444px
operatic pop,"rgb(90, 156, 31)",104%,271px,17891px
german alternative rap,"rgb(168, 133, 18)",104%,1050px,10194px
jazz funk,"rgb(126, 134, 94)",104%,906px,14269px
uk drill,"rgb(157, 136, 10)",104%,1161px,7380px
p-pop,"rgb(157, 142, 11)",104%,777px,6323px
lo-fi cover,"rgb(67, 170, 191)",104%,538px,14383px
chill pop,"rgb(120, 152, 23)",104%,784px,10132px
classical era,"rgb(32, 163, 154)",104%,463px,21322px
turkish singer-songwriter,"rgb(130, 148, 13)",104%,698px,11325px
bhojpuri pop,"rgb(222, 96, 1)",104%,798px,7332px
rap belge,"rgb(152, 149, 8)",104%,1088px,7380px
bebop,"rgb(87, 145, 109)",104%,914px,18941px
progressive metal,"rgb(181, 116, 51)",104%,249px,7739px
albanian pop,"rgb(174, 134, 6)",104%,948px,5900px
smooth jazz,"rgb(136, 144, 113)",104%,928px,9600px
chilean rock,"rgb(162, 119, 30)",104%,701px,9823px
phonk,"rgb(159, 147, 94)",104%,1064px,2777px
kollywood,"rgb(166, 130, 19)",104%,985px,6271px
modern dream pop,"rgb(161, 137, 105)",104%,352px,6229px
axe,"rgb(195, 123, 4)",104%,906px,8351px
redneck,"rgb(178, 133, 5)",104%,922px,4448px
drum and bass,"rgb(219, 128, 135)",104%,861px,1732px
albanian hip hop,"rgb(172, 139, 7)",104%,1109px,5937px
post-romantic era,"rgb(29, 160, 153)",104%,309px,21753px
meditation,"rgb(65, 113, 208)",104%,90px,19170px
british singer-songwriter,"rgb(92, 157, 24)",104%,597px,14702px
canadian indie,"rgb(155, 133, 28)",104%,476px,10257px
cumbia 420,"rgb(167, 142, 4)",104%,1301px,3817px
turkish alternative rock,"rgb(155, 137, 39)",104%,487px,7786px
modern salsa,"rgb(199, 134, 2)",104%,1014px,12403px
covertronica,"rgb(192, 136, 23)",104%,824px,3300px
pop lgbtq+ brasileira,"rgb(156, 143, 9)",104%,940px,8623px
sunshine pop,"rgb(126, 132, 8)",104%,651px,14232px
arkansas country,"rgb(113, 135, 7)",104%,938px,15755px
uk alternative hip hop,"rgb(156, 134, 20)",104%,1051px,12065px
swedish metal,"rgb(217, 81, 94)",104%,156px,7726px
finnish hip hop,"rgb(175, 131, 8)",104%,1023px,5912px
israeli pop,"rgb(153, 143, 10)",104%,619px,8684px
trova,"rgb(97, 152, 18)",104%,861px,16358px
nashville sound,"rgb(96, 148, 23)",104%,775px,16112px
musica popular colombiana,"rgb(139, 151, 4)",104%,1157px,12078px
background music,"rgb(39, 157, 208)",104%,166px,18854px
rap politico,"rgb(184, 123, 9)",104%,1046px,12365px
writing,"rgb(73, 112, 0)",104%,1362px,16157px
euphoric hardstyle,"rgb(229, 105, 49)",104%,476px,2698px
dutch rock,"rgb(151, 132, 12)",104%,553px,10464px
lagu jawa,"rgb(172, 154, 10)",104%,865px,5759px
acid rock,"rgb(162, 110, 43)",104%,472px,12687px
modern alternative pop,"rgb(145, 143, 9)",104%,791px,6647px
nyc pop,"rgb(144, 144, 18)",104%,754px,8087px
german cloud rap,"rgb(149, 150, 14)",104%,1036px,6647px
rawstyle,"rgb(232, 100, 38)",104%,449px,2913px
malaysian pop,"rgb(154, 140, 9)",104%,613px,7532px
french indietronica,"rgb(155, 147, 94)",104%,798px,4539px
partyschlager,"rgb(239, 95, 2)",104%,805px,1878px
pop electronico,"rgb(173, 139, 44)",104%,816px,3444px
nu jazz,"rgb(155, 139, 107)",104%,964px,5429px
kentucky roots,"rgb(135, 144, 20)",104%,613px,12191px
disco house,"rgb(205, 121, 94)",104%,1107px,1137px
piano cover,"rgb(24, 177, 233)",104%,722px,19113px
anime lo-fi,"rgb(77, 163, 203)",104%,914px,11783px
cartoon,"rgb(122, 128, 7)",104%,1205px,11498px
death metal,"rgb(232, 59, 107)",104%,159px,9884px
finnish pop,"rgb(166, 136, 7)",104%,668px,5682px
chicano rap,"rgb(168, 130, 6)",104%,1145px,4534px
swedish gangsta rap,"rgb(160, 141, 13)",104%,1057px,11411px
canadian country,"rgb(142, 141, 8)",104%,610px,11399px
lo-fi product,"rgb(89, 149, 202)",104%,1098px,12901px
swedish idol pop,"rgb(171, 138, 4)",104%,692px,5252px
experimental pop,"rgb(145, 132, 89)",104%,536px,11214px
brazilian edm,"rgb(187, 132, 116)",104%,1227px,1419px
birmingham metal,"rgb(209, 77, 76)",104%,194px,9662px
countrygaze,"rgb(113, 147, 60)",104%,468px,13676px
funk ostentacao,"rgb(180, 130, 3)",104%,1280px,6646px
boom bap espanol,"rgb(176, 123, 27)",104%,1012px,12551px
melodic dubstep,"rgb(179, 139, 69)",104%,428px,5252px
nursery,"rgb(76, 161, 106)",104%,985px,13054px
background jazz,"rgb(58, 170, 157)",104%,896px,14628px
panamanian pop,"rgb(188, 136, 6)",104%,1074px,8151px
russian dance,"rgb(177, 142, 10)",104%,958px,4362px
rock cristiano,"rgb(172, 130, 13)",104%,483px,6008px
modern blues,"rgb(157, 125, 33)",104%,714px,12006px
classic schlager,"rgb(156, 132, 6)",104%,684px,10781px
italo dance,"rgb(209, 123, 62)",104%,1040px,1248px
lo-fi sleep,"rgb(61, 168, 206)",104%,846px,13851px
indonesian rock,"rgb(184, 119, 20)",104%,440px,6736px
japanese alternative rock,"rgb(186, 118, 25)",104%,447px,6254px
dembow,"rgb(201, 130, 6)",104%,1242px,4879px
hardcore punk,"rgb(223, 69, 45)",104%,288px,10585px
dancefloor dnb,"rgb(220, 135, 87)",104%,610px,1966px
belgian pop,"rgb(151, 142, 22)",104%,787px,6673px
shiver pop,"rgb(155, 141, 65)",104%,681px,6501px
german soundtrack,"rgb(66, 157, 199)",104%,254px,14837px
modern southern rock,"rgb(181, 123, 17)",104%,457px,9006px
japanese emo,"rgb(193, 109, 49)",104%,300px,7593px
preschool children's music,"rgb(112, 150, 20)",104%,1168px,9089px
political hip hop,"rgb(182, 114, 13)",104%,995px,11386px
chutney,"rgb(144, 130, 29)",104%,811px,14801px
czech hip hop,"rgb(167, 139, 12)",104%,1042px,6057px
tecnobanda,"rgb(163, 128, 5)",104%,1110px,11460px
dubstep,"rgb(214, 123, 65)",104%,771px,4317px
new jersey rap,"rgb(172, 121, 7)",104%,1046px,9675px
japanese soundtrack,"rgb(84, 149, 185)",104%,385px,14555px
deep tropical house,"rgb(176, 145, 56)",104%,932px,2929px
trap mexicano,"rgb(158, 145, 5)",104%,1105px,5647px
houston rap,"rgb(159, 135, 6)",104%,1088px,6994px
post-disco,"rgb(171, 118, 26)",104%,1025px,5172px
slowed and reverb,"rgb(113, 153, 96)",104%,906px,9225px
philly indie,"rgb(174, 121, 54)",104%,354px,9773px
torch song,"rgb(65, 150, 13)",104%,756px,19859px
double drumming,"rgb(162, 114, 83)",104%,511px,12588px
rap genovese,"rgb(171, 148, 3)",104%,985px,7687px
laiko,"rgb(148, 140, 5)",104%,775px,12028px
minimal techno,"rgb(174, 145, 201)",104%,1263px,961px
dangdut,"rgb(155, 148, 16)",104%,674px,7406px
canadian punk,"rgb(227, 80, 29)",104%,260px,6960px
scorecore,"rgb(99, 150, 180)",104%,328px,12413px
egyptian pop,"rgb(166, 132, 5)",103%,856px,7037px
alternative country,"rgb(129, 141, 25)",103%,541px,13565px
bossa nova cover,"rgb(86, 169, 143)",103%,1107px,11474px
milan indie,"rgb(165, 135, 29)",103%,664px,7061px
musica sonorense,"rgb(143, 142, 4)",103%,1083px,13207px
texas country,"rgb(161, 139, 2)",103%,516px,7369px
russelater,"rgb(190, 128, 17)",103%,932px,3543px
ukrainian pop,"rgb(168, 136, 18)",103%,787px,5771px
high vibe,"rgb(105, 157, 82)",103%,724px,11684px
electronica argentina,"rgb(158, 141, 57)",103%,744px,5937px
trap chileno,"rgb(157, 151, 5)",103%,1066px,6310px
spanish new wave,"rgb(192, 116, 20)",103%,616px,6352px
jazz rap,"rgb(163, 121, 50)",103%,1120px,6397px
deathcore,"rgb(234, 67, 81)",103%,208px,6524px
south carolina hip hop,"rgb(159, 144, 2)",103%,1064px,4117px
trancecore,"rgb(226, 94, 24)",103%,251px,4042px
classic hardstyle,"rgb(230, 101, 62)",103%,548px,2439px
gujarati pop,"rgb(187, 120, 4)",103%,724px,12067px
scottish rock,"rgb(172, 123, 39)",103%,405px,7909px
epicore,"rgb(134, 132, 192)",103%,328px,8354px
gothic metal,"rgb(196, 112, 54)",103%,208px,6143px
detroit trap,"rgb(164, 143, 1)",103%,1051px,5696px
hi-nrg,"rgb(189, 119, 35)",103%,902px,2382px
reggaeton mexicano,"rgb(172, 145, 11)",103%,1098px,3989px
small room,"rgb(119, 145, 69)",103%,511px,13688px
uk funky,"rgb(185, 136, 57)",103%,1090px,2540px
pinoy r&b,"rgb(136, 152, 11)",103%,944px,7700px
reggaeton chileno,"rgb(182, 141, 3)",103%,1109px,3469px
chillwave,"rgb(161, 137, 103)",103%,592px,6377px
tropicalia,"rgb(130, 139, 14)",103%,858px,13864px
greek pop,"rgb(175, 134, 2)",103%,742px,7295px
ectofolk,"rgb(105, 152, 9)",103%,631px,14048px
modern power pop,"rgb(193, 114, 28)",103%,334px,6848px
gothic symphonic metal,"rgb(198, 112, 34)",103%,215px,5687px
zolo,"rgb(157, 117, 55)",103%,625px,9885px
drill francais,"rgb(150, 150, 2)",103%,1152px,6246px
dutch trance,"rgb(209, 122, 113)",103%,714px,2238px
kindermusik,"rgb(115, 128, 51)",103%,995px,13552px
norwegian indie,"rgb(137, 141, 37)",103%,522px,10451px
afroswing,"rgb(163, 145, 8)",103%,1085px,10967px
chinese viral pop,"rgb(146, 153, 43)",103%,820px,6722px
nu disco,"rgb(183, 137, 114)",103%,1099px,1456px
russian alt pop,"rgb(155, 141, 27)",103%,798px,6710px
neo-singer-songwriter,"rgb(116, 155, 7)",103%,589px,13331px
canadian electronic,"rgb(191, 132, 110)",103%,993px,2143px
rome indie,"rgb(151, 141, 42)",103%,608px,8586px
supergroup,"rgb(175, 112, 38)",103%,391px,10047px
speedrun,"rgb(143, 145, 178)",103%,754px,5575px
acoustic cover,"rgb(79, 167, 2)",103%,833px,15509px
chill drill,"rgb(136, 145, 3)",103%,1159px,9600px
melbourne bounce,"rgb(209, 119, 97)",103%,1031px,1671px
modern hard rock,"rgb(210, 101, 17)",103%,284px,6057px
trap soul,"rgb(131, 156, 7)",103%,914px,7158px
slowcore,"rgb(98, 150, 110)",103%,461px,14133px
fvnky rimex,"rgb(215, 139, 84)",103%,1230px,919px
london rap,"rgb(168, 139, 6)",103%,1074px,10992px
deep groove house,"rgb(204, 128, 97)",103%,1166px,1394px
german baroque,"rgb(44, 164, 135)",103%,405px,20327px
latin talent show,"rgb(146, 148, 2)",103%,754px,9426px
oakland hip hop,"rgb(171, 130, 3)",103%,1074px,7824px
seattle hip hop,"rgb(164, 130, 29)",103%,962px,8511px
french synthpop,"rgb(160, 141, 72)",103%,605px,5223px
rap calme,"rgb(135, 153, 4)",103%,1033px,11832px
bossbeat,"rgb(166, 138, 94)",103%,787px,4202px
sigilkore,"rgb(162, 145, 43)",103%,605px,7010px
ska punk,"rgb(216, 94, 17)",103%,569px,7971px
christian hip hop,"rgb(171, 135, 11)",103%,983px,8201px
musica de fondo,"rgb(66, 114, 207)",103%,136px,18510px
modern indie folk,"rgb(96, 159, 30)",103%,522px,14220px
chicago indie,"rgb(155, 129, 54)",103%,520px,10978px
ska mexicano,"rgb(199, 116, 23)",103%,775px,8100px
deep ccm,"rgb(120, 148, 30)",103%,315px,11459px
pop romantico,"rgb(136, 140, 8)",103%,605px,13998px
greek hip hop,"rgb(177, 131, 19)",103%,1035px,5832px
intelligent dance music,"rgb(152, 133, 176)",103%,771px,6092px
doo-wop,"rgb(125, 128, 8)",103%,698px,15126px
social media pop,"rgb(156, 145, 6)",103%,863px,5303px
visual kei,"rgb(221, 93, 27)",103%,260px,4460px
basshall,"rgb(187, 140, 22)",103%,1116px,4190px
big beat,"rgb(196, 120, 117)",103%,865px,2057px
j-rap,"rgb(178, 132, 18)",103%,1006px,5584px
hungarian pop,"rgb(180, 127, 12)",103%,863px,5925px
argentine telepop,"rgb(166, 141, 6)",103%,717px,6442px
electra,"rgb(153, 145, 146)",103%,886px,5108px
german romanticism,"rgb(33, 159, 160)",103%,387px,21639px
persian pop,"rgb(168, 138, 6)",103%,805px,8648px
anadolu rock,"rgb(140, 133, 37)",103%,582px,13089px
cumbia peruana,"rgb(189, 144, 15)",103%,956px,8289px
kentucky indie,"rgb(145, 136, 30)",103%,550px,11496px
swedish trap,"rgb(155, 150, 6)",103%,1099px,8837px
stoner metal,"rgb(195, 105, 99)",103%,236px,10954px
classic indonesian rock,"rgb(175, 125, 16)",103%,480px,7677px
musica infantil,"rgb(106, 152, 58)",103%,1006px,13293px
brill building pop,"rgb(120, 132, 9)",103%,522px,15439px
swedish synthpop,"rgb(175, 137, 68)",103%,732px,2779px
melodic death metal,"rgb(228, 80, 89)",103%,145px,5724px
hard rock brasileiro,"rgb(213, 100, 16)",103%,478px,7357px
christian indie,"rgb(128, 148, 16)",103%,440px,11410px
detroit rock,"rgb(194, 97, 43)",103%,383px,11164px
funk bh,"rgb(148, 148, 3)",103%,1277px,10762px
salsa colombiana,"rgb(191, 143, 8)",103%,1129px,9200px
vapor soul,"rgb(146, 148, 46)",103%,775px,6615px
northern soul,"rgb(145, 124, 11)",103%,744px,12636px
nwobhm,"rgb(219, 80, 43)",103%,236px,9352px
ocean,"rgb(158, 0, 199)",103%,24px,17305px
progressive bluegrass,"rgb(119, 148, 54)",103%,752px,15051px
cumbia chilena,"rgb(188, 133, 4)",103%,928px,7145px
cumbia,"rgb(161, 140, 15)",103%,1143px,11115px
hindi indie,"rgb(144, 147, 33)",103%,656px,8354px
gaming edm,"rgb(192, 137, 73)",103%,664px,3157px
indie game soundtrack,"rgb(117, 148, 184)",103%,507px,11350px
rock urbano mexicano,"rgb(190, 114, 16)",103%,496px,10132px
classic opm,"rgb(113, 151, 14)",103%,545px,13417px
deboxe,"rgb(164, 133, 9)",103%,1345px,5740px
gospel,"rgb(130, 131, 6)",103%,538px,14145px
hawaiian hip hop,"rgb(157, 138, 4)",103%,1087px,9637px
post-hardcore,"rgb(203, 92, 62)",103%,284px,10084px
grupero romantico,"rgb(161, 148, 5)",103%,892px,8461px
dangdut koplo,"rgb(176, 150, 9)",103%,811px,6389px
japanese chillhop,"rgb(105, 154, 165)",103%,964px,10880px
uplifting trance,"rgb(218, 119, 139)",103%,569px,1607px
afro r&b,"rgb(142, 152, 14)",103%,969px,8499px
diva house,"rgb(196, 123, 64)",103%,1072px,1494px
jamaican dancehall,"rgb(184, 138, 3)",103%,1110px,10788px
folklore argentino,"rgb(110, 148, 25)",103%,932px,16157px
javanese dangdut,"rgb(173, 154, 11)",103%,861px,5825px
frauenrap,"rgb(148, 149, 12)",103%,1148px,7119px
american metalcore,"rgb(229, 80, 36)",103%,225px,5092px
instrumental worship,"rgb(41, 175, 189)",103%,722px,17678px
boston rock,"rgb(174, 114, 37)",103%,399px,10770px
hip hop tuga,"rgb(161, 136, 18)",103%,1053px,11090px
rock gospel brasileiro,"rgb(163, 133, 15)",103%,395px,8119px
comic metal,"rgb(207, 93, 32)",103%,438px,5947px
czech pop,"rgb(150, 136, 6)",103%,613px,10220px
alternative pop rock,"rgb(167, 132, 8)",103%,444px,6204px
banda jalisciense,"rgb(151, 134, 11)",103%,1019px,13002px
rap cearense,"rgb(142, 148, 6)",103%,1053px,9102px
german trap,"rgb(148, 154, 8)",103%,1021px,5092px
british soundtrack,"rgb(64, 158, 192)",103%,267px,16329px
rif,"rgb(192, 118, 7)",103%,858px,5809px
canadian pop punk,"rgb(224, 91, 15)",103%,266px,4161px
ghazal,"rgb(129, 137, 29)",103%,717px,15698px
argentine reggae,"rgb(165, 139, 17)",103%,1040px,5197px
canadian contemporary country,"rgb(174, 134, 4)",103%,511px,5859px
vapor twitch,"rgb(162, 143, 91)",103%,822px,5709px
tagalog rap,"rgb(135, 152, 9)",103%,1070px,7848px
corridos clasicos,"rgb(153, 140, 3)",103%,1053px,13330px
trap baiano,"rgb(136, 153, 5)",103%,1048px,9163px
vocal house,"rgb(199, 124, 91)",103%,1099px,1211px
toronto indie,"rgb(154, 132, 48)",103%,444px,9834px
vancouver indie,"rgb(156, 131, 49)",103%,472px,10195px
