genre,font_size,color,colors_rgb,top,left
kentucky hip hop,105%,#959509,"rgb(149, 149, 9)",4984px,1166px
lullaby,105%,#2698a4,"rgb(38, 152, 164)",18596px,461px
adoracao,105%,#8f8e10,"rgb(143, 142, 16)",9736px,401px
show tunes,105%,#63920a,"rgb(99, 146, 10)",16243px,616px
ohio hip hop,105%,#a68807,"rgb(166, 136, 7)",7081px,1006px
skate punk,105%,#e5530f,"rgb(229, 83, 15)",7404px,340px
grime,105%,#bb8115,"rgb(187, 129, 21)",6878px,1012px
jazz,105%,#50905d,"rgb(80, 144, 93)",19137px,904px
neo-classical,105%,#27abda,"rgb(39, 171, 218)",20519px,511px
spanish rock,105%,#a8840c,"rgb(168, 132, 12)",7258px,651px
rap canario,105%,#a28d0b,"rgb(162, 141, 11)",7355px,1118px
sufi,105%,#9b8011,"rgb(155, 128, 17)",12934px,739px
german rock,105%,#ac740b,"rgb(172, 116, 11)",8304px,613px
meme rap,105%,#968f13,"rgb(150, 143, 19)",6734px,1044px
la pop,105%,#969014,"rgb(150, 144, 20)",7036px,766px
broadway,105%,#4f932e,"rgb(79, 147, 46)",17833px,543px
australian hip hop,105%,#b28508,"rgb(178, 133, 8)",5596px,1025px
samba,105%,#7a8e19,"rgb(122, 142, 25)",15175px,848px
country pop,105%,#ab8702,"rgb(171, 135, 2)",5884px,532px
southern soul,105%,#828211,"rgb(130, 130, 17)",12891px,842px
rap napoletano,105%,#a88614,"rgb(168, 134, 20)",8277px,926px
turkish alt pop,105%,#789910,"rgb(120, 153, 16)",9972px,714px
tollywood,105%,#ab8108,"rgb(171, 129, 8)",7638px,981px
drill espanol,105%,#969604,"rgb(150, 150, 4)",8213px,1136px
noise pop,105%,#ad725b,"rgb(173, 114, 91)",10133px,344px
hamburg hip hop,105%,#a7841a,"rgb(167, 132, 26)",9076px,1074px
urbano mexicano,105%,#999508,"rgb(153, 149, 8)",6006px,1098px
indie hip hop,105%,#978d09,"rgb(151, 141, 9)",10905px,1036px
hollywood,105%,#638d0d,"rgb(99, 141, 13)",16427px,610px
cumbia villera,105%,#bb8703,"rgb(187, 135, 3)",9798px,1017px
v-pop,105%,#8f9207,"rgb(143, 146, 7)",10219px,732px
brooklyn indie,105%,#a5803f,"rgb(165, 128, 63)",8341px,449px
russian pop,105%,#ba8208,"rgb(186, 130, 8)",3559px,844px
flamenco urbano,105%,#b98b02,"rgb(185, 139, 2)",6609px,1051px
swedish trap pop,105%,#9b960a,"rgb(155, 150, 10)",9973px,1068px
norwegian pop,105%,#91900b,"rgb(145, 144, 11)",8243px,656px
new jack swing,105%,#9d8009,"rgb(157, 128, 9)",4278px,971px
new french touch,105%,#a7925a,"rgb(167, 146, 90)",2966px,954px
electric blues,105%,#857d23,"rgb(133, 125, 35)",15396px,883px
canadian trap,105%,#949802,"rgb(148, 152, 2)",5391px,1076px
electro latino,105%,#cd8217,"rgb(205, 130, 23)",2291px,1061px
swedish electropop,105%,#af8a30,"rgb(175, 138, 48)",3017px,784px
pop emo,105%,#cc7007,"rgb(204, 112, 7)",3932px,321px
uk alternative pop,105%,#958e1c,"rgb(149, 142, 28)",7577px,660px
cloud rap francais,105%,#8d9803,"rgb(141, 152, 3)",11065px,1050px
japanese singer-songwriter,105%,#908d12,"rgb(144, 141, 18)",9735px,592px
cumbia sonidera,105%,#a4960d,"rgb(164, 150, 13)",4920px,1110px
deep house,105%,#bb8382,"rgb(187, 131, 130)",1127px,1234px
complextro,105%,#c38054,"rgb(195, 128, 84)",2669px,780px
chicago drill,105%,#9f9202,"rgb(159, 146, 2)",6284px,1004px
british blues,105%,#9e7826,"rgb(158, 120, 38)",13076px,610px
industrial,105%,#af656a,"rgb(175, 101, 106)",5750px,520px
salsa puertorriquena,105%,#ac8806,"rgb(172, 136, 6)",13632px,1042px
glitchcore,105%,#a39418,"rgb(163, 148, 24)",5166px,671px
deep underground hip hop,105%,#a18f04,"rgb(161, 143, 4)",7787px,1081px
czsk hip hop,105%,#a98b0a,"rgb(169, 139, 10)",7044px,1027px
gym hardstyle,105%,#c97e36,"rgb(201, 126, 54)",4219px,459px
french indie pop,105%,#949138,"rgb(148, 145, 56)",6455px,744px
weirdcore,105%,#83917d,"rgb(131, 145, 125)",9016px,850px
turbo folk,105%,#bb7d02,"rgb(187, 125, 2)",6414px,747px
vallenato,105%,#b18802,"rgb(177, 136, 2)",10868px,1150px
video game music,105%,#5e91c8,"rgb(94, 145, 200)",12202px,271px
azontobeats,105%,#c38407,"rgb(195, 132, 7)",8048px,1023px
indonesian singer-songwriter,105%,#6f990d,"rgb(111, 153, 13)",13602px,608px
oxford indie,105%,#a5823b,"rgb(165, 130, 59)",7983px,434px
mollywood,105%,#8c900f,"rgb(140, 144, 15)",10781px,835px
chill r&b,105%,#749b08,"rgb(116, 155, 8)",10721px,856px
uk metalcore,105%,#dd591c,"rgb(221, 89, 28)",5896px,215px
electro,105%,#b28388,"rgb(178, 131, 136)",1751px,1147px
arrochadeira,105%,#c18d0a,"rgb(193, 141, 10)",5022px,1311px
symphonic metal,105%,#cf652c,"rgb(207, 101, 44)",5946px,194px
electronic trap,105%,#c48242,"rgb(196, 130, 66)",3386px,873px
country rap,105%,#b48405,"rgb(180, 132, 5)",4537px,948px
latin worship,105%,#9b8b11,"rgb(155, 139, 17)",7885px,440px
meme,105%,#919169,"rgb(145, 145, 105)",6043px,962px
edmonton indie,105%,#978629,"rgb(151, 134, 41)",9353px,553px
bow pop,105%,#43a4b2,"rgb(67, 164, 178)",17977px,411px
canadian singer-songwriter,105%,#7a9110,"rgb(122, 145, 16)",13664px,600px
jazz blues,105%,#4f8f18,"rgb(79, 143, 24)",18982px,865px
new rave,105%,#bc7d46,"rgb(188, 125, 70)",2640px,813px
ambient pop,105%,#679591,"rgb(103, 149, 145)",13162px,361px
environmental,105%,#b000c8,"rgb(176, 0, 200)",16932px,48px
classic j-pop,105%,#b97c1a,"rgb(185, 124, 26)",4604px,557px
neue deutsche harte,105%,#ce6a2b,"rgb(206, 106, 43)",2841px,434px
dreamo,105%,#ba7544,"rgb(186, 117, 68)",6364px,277px
chillhop,105%,#759098,"rgb(117, 144, 152)",11300px,1061px
french rock,105%,#8d8612,"rgb(141, 134, 18)",11447px,822px
tamil hip hop,105%,#a98718,"rgb(169, 135, 24)",6609px,922px
pakistani hip hop,105%,#9e9208,"rgb(158, 146, 8)",7231px,1109px
background piano,105%,#11abe8,"rgb(17, 171, 232)",20863px,541px
brazilian reggae,105%,#a48a08,"rgb(164, 138, 8)",7342px,998px
stutter house,105%,#b88b42,"rgb(184, 139, 66)",3731px,873px
jam band,105%,#9c7d3b,"rgb(156, 125, 59)",12909px,674px
coverchill,105%,#5aa58b,"rgb(90, 165, 139)",13417px,898px
cantopop,105%,#898e05,"rgb(137, 142, 5)",10145px,616px
bachata dominicana,105%,#a49305,"rgb(164, 147, 5)",7466px,1230px
mambo chileno,105%,#b09005,"rgb(176, 144, 5)",4142px,1159px
nigerian hip hop,105%,#ba8504,"rgb(186, 133, 4)",9377px,1081px
mexican indie,105%,#a68730,"rgb(166, 135, 48)",5309px,668px
classic swedish pop,105%,#8f8809,"rgb(143, 136, 9)",11152px,684px
bubblegrunge,105%,#a67e27,"rgb(166, 126, 39)",9030px,383px
blues,105%,#718321,"rgb(113, 131, 33)",17420px,998px
russian trap,105%,#a98e0a,"rgb(169, 142, 10)",6133px,1002px
indonesian pop rock,105%,#a3880d,"rgb(163, 136, 13)",6476px,511px
jazz pop,105%,#589b14,"rgb(88, 155, 20)",15546px,800px
hare krishna,105%,#89890a,"rgb(137, 137, 10)",14542px,698px
polish pop,105%,#a7880a,"rgb(167, 136, 10)",6092px,678px
hindi hip hop,105%,#b0860b,"rgb(176, 134, 11)",5469px,1112px
el paso indie,105%,#b77646,"rgb(183, 118, 70)",8906px,359px
german drill,105%,#a28d11,"rgb(162, 141, 17)",7044px,1127px
schlager,105%,#c77f05,"rgb(199, 127, 5)",3084px,744px
australian psych,105%,#c17048,"rgb(193, 112, 72)",9735px,271px
turkce drill,105%,#979818,"rgb(151, 152, 24)",4934px,1038px
classic canadian rock,104%,#a47b12,"rgb(164, 123, 18)",10034px,516px
comic,104%,#86760b,"rgb(134, 118, 11)",14378px,973px
golden age hip hop,104%,#af6c0f,"rgb(175, 108, 15)",4075px,1204px
japanese vgm,104%,#798db5,"rgb(121, 141, 181)",10843px,426px
scandipop,104%,#a88d18,"rgb(168, 141, 24)",3841px,914px
indie rock italiano,104%,#b37c34,"rgb(179, 124, 52)",7036px,507px
arabesk,104%,#958609,"rgb(149, 134, 9)",13516px,613px
irish singer-songwriter,104%,#699813,"rgb(105, 152, 19)",14283px,553px
indie anthem-folk,104%,#72980e,"rgb(114, 152, 14)",12934px,553px
belgian edm,104%,#c48550,"rgb(196, 133, 80)",2109px,930px
reggae rock,104%,#a58b10,"rgb(165, 139, 16)",5925px,987px
christian rock,104%,#d26910,"rgb(210, 105, 16)",3817px,286px
melbourne bounce international,104%,#d17950,"rgb(209, 121, 80)",1921px,1000px
pop rock brasileiro,104%,#bc7c08,"rgb(188, 124, 8)",6109px,562px
rumba,104%,#a38232,"rgb(163, 130, 50)",12524px,922px
cuarteto,104%,#c28302,"rgb(194, 131, 2)",7019px,922px
taiwan pop,104%,#968b0e,"rgb(150, 139, 14)",8157px,584px
pagode baiano,104%,#c28403,"rgb(194, 132, 3)",12638px,1098px
instrumental hip hop,104%,#a37e6c,"rgb(163, 126, 108)",6697px,910px
bedroom soul,104%,#7a9808,"rgb(122, 152, 8)",9986px,983px
indie garage rock,104%,#ad7c55,"rgb(173, 124, 85)",8857px,432px
minnesota hip hop,104%,#ac8410,"rgb(172, 132, 16)",6159px,1021px
j-pixie,104%,#d36d18,"rgb(211, 109, 24)",3559px,365px
australian electropop,104%,#ae8b2c,"rgb(174, 139, 44)",3817px,763px
baroque,104%,#2ba478,"rgb(43, 164, 120)",20203px,395px
power pop,104%,#b37218,"rgb(179, 114, 24)",9674px,465px
australian indie,104%,#a8841c,"rgb(168, 132, 28)",7072px,520px
pop house,104%,#c97e2e,"rgb(201, 126, 46)",1763px,956px
c-pop,104%,#7a9306,"rgb(122, 147, 6)",12502px,562px
nz pop,104%,#899210,"rgb(137, 146, 16)",7430px,805px
swamp rock,104%,#9f7914,"rgb(159, 121, 20)",11870px,791px
lo-fi chill,104%,#629e4b,"rgb(98, 158, 75)",11250px,936px
post-punk,104%,#bb6246,"rgb(187, 98, 70)",9067px,489px
classic pakistani pop,104%,#9b8012,"rgb(155, 128, 18)",13508px,756px
pop rap brasileiro,104%,#919407,"rgb(145, 148, 7)",12127px,998px
lo-fi jazzhop,104%,#729ab5,"rgb(114, 154, 181)",11164px,1055px
viral rap,104%,#8d960a,"rgb(141, 150, 10)",4576px,1202px
turkish folk,104%,#769213,"rgb(118, 146, 19)",15526px,610px
memphis soul,104%,#7b8517,"rgb(123, 133, 23)",13741px,879px
punk blues,104%,#c65c38,"rgb(198, 92, 56)",11845px,434px
contemporary vocal jazz,104%,#509c0e,"rgb(80, 156, 14)",16874px,800px
early music,104%,#2ba479,"rgb(43, 164, 121)",20302px,387px
irish pop,104%,#869413,"rgb(134, 148, 19)",9910px,625px
vocaloid,104%,#ce771d,"rgb(206, 119, 29)",3185px,507px
indonesian jazz,104%,#809338,"rgb(128, 147, 56)",11672px,763px
ska,104%,#bb7019,"rgb(187, 112, 25)",8417px,846px
hip house,104%,#cc7743,"rgb(204, 119, 67)",1236px,1068px
belgian hip hop,104%,#959107,"rgb(149, 145, 7)",10942px,1070px
anime score,104%,#509ab6,"rgb(80, 154, 182)",14480px,453px
etherpop,104%,#829239,"rgb(130, 146, 57)",10403px,513px
rap dominicano,104%,#c08406,"rgb(192, 132, 6)",6031px,1200px
sacramento indie,104%,#b67431,"rgb(182, 116, 49)",8169px,409px
indonesian indie,104%,#9c8531,"rgb(156, 133, 49)",9426px,487px
greek trap,104%,#a39404,"rgb(163, 148, 4)",6397px,1036px
indie surf,104%,#bf7742,"rgb(191, 119, 66)",6773px,367px
gauze pop,104%,#989139,"rgb(152, 145, 57)",6141px,739px
bronx drill,104%,#ab7e02,"rgb(171, 126, 2)",7552px,1163px
canadian metal,104%,#da533e,"rgb(218, 83, 62)",7860px,234px
arab pop,104%,#a38209,"rgb(163, 130, 9)",9549px,744px
post-punk argentina,104%,#a97b1d,"rgb(169, 123, 29)",6834px,724px
j-poprock,104%,#ca7216,"rgb(202, 114, 22)",4333px,420px
aussietronica,104%,#b18b45,"rgb(177, 139, 69)",3313px,875px
danish hip hop,104%,#a9840f,"rgb(169, 132, 15)",7094px,1059px
stoner rock,104%,#c46859,"rgb(196, 104, 89)",10991px,247px
musica para ninos,104%,#4a9662,"rgb(74, 150, 98)",15681px,660px
shimmer pop,104%,#a8882c,"rgb(168, 136, 44)",5236px,562px
late romantic era,104%,#269a8d,"rgb(38, 154, 141)",21589px,324px
old school atlanta hip hop,104%,#ae8206,"rgb(174, 130, 6)",4129px,1088px
nu-cumbia,104%,#a9903c,"rgb(169, 144, 60)",4838px,1057px
indie r&b,104%,#7f960e,"rgb(127, 150, 14)",9588px,896px
moombahton,104%,#ce7f3f,"rgb(206, 127, 63)",2339px,1008px
soul blues,104%,#728412,"rgb(114, 132, 18)",16182px,852px
old school hip hop,104%,#b46a11,"rgb(180, 106, 17)",3021px,1246px
sertanejo tradicional,104%,#858f03,"rgb(133, 143, 3)",13527px,875px
dutch rap pop,104%,#a1940f,"rgb(161, 148, 15)",6258px,1152px
nouvelle chanson francaise,104%,#80941e,"rgb(128, 148, 30)",10979px,763px
deep euro house,104%,#a398ad,"rgb(163, 152, 173)",881px,1306px
protopunk,104%,#af6b27,"rgb(175, 107, 39)",11969px,491px
modern folk rock,104%,#848e1c,"rgb(132, 142, 28)",13051px,516px
new york drill,104%,#a38702,"rgb(163, 135, 2)",7737px,1130px
world,104%,#8f8623,"rgb(143, 134, 35)",13192px,842px
dance-punk,104%,#c17742,"rgb(193, 119, 66)",3300px,668px
venezuelan hip hop,104%,#b28207,"rgb(178, 130, 7)",11955px,1092px
bass house,104%,#cf7b74,"rgb(207, 123, 116)",1506px,1214px
desi trap,104%,#a59105,"rgb(165, 145, 5)",6841px,1083px
indie triste,104%,#52a212,"rgb(82, 162, 18)",15150px,820px
pinoy hip hop,104%,#988d0a,"rgb(152, 141, 10)",6510px,1083px
bubblegum pop,104%,#848309,"rgb(132, 131, 9)",14208px,660px
argentine indie,104%,#968a2c,"rgb(150, 138, 44)",9055px,628px
r&b brasileiro,104%,#919405,"rgb(145, 148, 5)",9737px,973px
red dirt,104%,#a08a04,"rgb(160, 138, 4)",8182px,507px
korean pop,104%,#799a2e,"rgb(121, 154, 46)",12240px,625px
crunk,104%,#ab8304,"rgb(171, 131, 4)",4092px,1121px
celtic rock,104%,#a1811d,"rgb(161, 129, 29)",11076px,440px
early romantic era,104%,#1ea3b1,"rgb(30, 163, 177)",21675px,447px
norteno-sax,104%,#c28f06,"rgb(194, 143, 6)",9212px,914px
alternative emo,104%,#c46e16,"rgb(196, 110, 22)",6512px,317px
spanish indie pop,104%,#a98329,"rgb(169, 131, 41)",7319px,465px
black americana,104%,#8c8d0b,"rgb(140, 141, 11)",11548px,771px
romanian pop,104%,#bc8815,"rgb(188, 136, 21)",2798px,985px
previa,104%,#a88f05,"rgb(168, 143, 5)",3444px,1292px
swing,104%,#4e884f,"rgb(78, 136, 79)",19469px,926px
funk pop,104%,#ba8c02,"rgb(186, 140, 2)",3927px,1161px
italian indie pop,104%,#a48814,"rgb(164, 136, 20)",7444px,712px
operatic pop,104%,#5a9c1f,"rgb(90, 156, 31)",17891px,271px
german alternative rap,104%,#a88512,"rgb(168, 133, 18)",10194px,1050px
jazz funk,104%,#7e865e,"rgb(126, 134, 94)",14269px,906px
uk drill,104%,#9d880a,"rgb(157, 136, 10)",7380px,1161px
p-pop,104%,#9d8e0b,"rgb(157, 142, 11)",6323px,777px
lo-fi cover,104%,#43aabf,"rgb(67, 170, 191)",14383px,538px
chill pop,104%,#789817,"rgb(120, 152, 23)",10132px,784px
classical era,104%,#20a39a,"rgb(32, 163, 154)",21322px,463px
turkish singer-songwriter,104%,#82940d,"rgb(130, 148, 13)",11325px,698px
bhojpuri pop,104%,#de6001,"rgb(222, 96, 1)",7332px,798px
rap belge,104%,#989508,"rgb(152, 149, 8)",7380px,1088px
bebop,104%,#57916d,"rgb(87, 145, 109)",18941px,914px
progressive metal,104%,#b57433,"rgb(181, 116, 51)",7739px,249px
albanian pop,104%,#ae8606,"rgb(174, 134, 6)",5900px,948px
smooth jazz,104%,#889071,"rgb(136, 144, 113)",9600px,928px
chilean rock,104%,#a2771e,"rgb(162, 119, 30)",9823px,701px
phonk,104%,#9f935e,"rgb(159, 147, 94)",2777px,1064px
kollywood,104%,#a68213,"rgb(166, 130, 19)",6271px,985px
modern dream pop,104%,#a18969,"rgb(161, 137, 105)",6229px,352px
axe,104%,#c37b04,"rgb(195, 123, 4)",8351px,906px
redneck,104%,#b28505,"rgb(178, 133, 5)",4448px,922px
drum and bass,104%,#db8087,"rgb(219, 128, 135)",1732px,861px
albanian hip hop,104%,#ac8b07,"rgb(172, 139, 7)",5937px,1109px
post-romantic era,104%,#1da099,"rgb(29, 160, 153)",21753px,309px
meditation,104%,#4171d0,"rgb(65, 113, 208)",19170px,90px
british singer-songwriter,104%,#5c9d18,"rgb(92, 157, 24)",14702px,597px
canadian indie,104%,#9b851c,"rgb(155, 133, 28)",10257px,476px
cumbia 420,104%,#a78e04,"rgb(167, 142, 4)",3817px,1301px
turkish alternative rock,104%,#9b8927,"rgb(155, 137, 39)",7786px,487px
modern salsa,104%,#c78602,"rgb(199, 134, 2)",12403px,1014px
covertronica,104%,#c08817,"rgb(192, 136, 23)",3300px,824px
pop lgbtq+ brasileira,104%,#9c8f09,"rgb(156, 143, 9)",8623px,940px
sunshine pop,104%,#7e8408,"rgb(126, 132, 8)",14232px,651px
arkansas country,104%,#718707,"rgb(113, 135, 7)",15755px,938px
uk alternative hip hop,104%,#9c8614,"rgb(156, 134, 20)",12065px,1051px
swedish metal,104%,#d9515e,"rgb(217, 81, 94)",7726px,156px
finnish hip hop,104%,#af8308,"rgb(175, 131, 8)",5912px,1023px
israeli pop,104%,#998f0a,"rgb(153, 143, 10)",8684px,619px
trova,104%,#619812,"rgb(97, 152, 18)",16358px,861px
nashville sound,104%,#609417,"rgb(96, 148, 23)",16112px,775px
musica popular colombiana,104%,#8b9704,"rgb(139, 151, 4)",12078px,1157px
background music,104%,#279dd0,"rgb(39, 157, 208)",18854px,166px
rap politico,104%,#b87b09,"rgb(184, 123, 9)",12365px,1046px
writing,104%,#497000,"rgb(73, 112, 0)",16157px,1362px
euphoric hardstyle,104%,#e56931,"rgb(229, 105, 49)",2698px,476px
dutch rock,104%,#97840c,"rgb(151, 132, 12)",10464px,553px
lagu jawa,104%,#ac9a0a,"rgb(172, 154, 10)",5759px,865px
acid rock,104%,#a26e2b,"rgb(162, 110, 43)",12687px,472px
modern alternative pop,104%,#918f09,"rgb(145, 143, 9)",6647px,791px
nyc pop,104%,#909012,"rgb(144, 144, 18)",8087px,754px
german cloud rap,104%,#95960e,"rgb(149, 150, 14)",6647px,1036px
rawstyle,104%,#e86426,"rgb(232, 100, 38)",2913px,449px
malaysian pop,104%,#9a8c09,"rgb(154, 140, 9)",7532px,613px
french indietronica,104%,#9b935e,"rgb(155, 147, 94)",4539px,798px
partyschlager,104%,#ef5f02,"rgb(239, 95, 2)",1878px,805px
pop electronico,104%,#ad8b2c,"rgb(173, 139, 44)",3444px,816px
nu jazz,104%,#9b8b6b,"rgb(155, 139, 107)",5429px,964px
kentucky roots,104%,#879014,"rgb(135, 144, 20)",12191px,613px
disco house,104%,#cd795e,"rgb(205, 121, 94)",1137px,1107px
piano cover,104%,#18b1e9,"rgb(24, 177, 233)",19113px,722px
anime lo-fi,104%,#4da3cb,"rgb(77, 163, 203)",11783px,914px
cartoon,104%,#7a8007,"rgb(122, 128, 7)",11498px,1205px
death metal,104%,#e83b6b,"rgb(232, 59, 107)",9884px,159px
finnish pop,104%,#a68807,"rgb(166, 136, 7)",5682px,668px
chicano rap,104%,#a88206,"rgb(168, 130, 6)",4534px,1145px
swedish gangsta rap,104%,#a08d0d,"rgb(160, 141, 13)",11411px,1057px
canadian country,104%,#8e8d08,"rgb(142, 141, 8)",11399px,610px
lo-fi product,104%,#5995ca,"rgb(89, 149, 202)",12901px,1098px
swedish idol pop,104%,#ab8a04,"rgb(171, 138, 4)",5252px,692px
experimental pop,104%,#918459,"rgb(145, 132, 89)",11214px,536px
brazilian edm,104%,#bb8474,"rgb(187, 132, 116)",1419px,1227px
birmingham metal,104%,#d14d4c,"rgb(209, 77, 76)",9662px,194px
countrygaze,104%,#71933c,"rgb(113, 147, 60)",13676px,468px
funk ostentacao,104%,#b48203,"rgb(180, 130, 3)",6646px,1280px
boom bap espanol,104%,#b07b1b,"rgb(176, 123, 27)",12551px,1012px
melodic dubstep,104%,#b38b45,"rgb(179, 139, 69)",5252px,428px
nursery,104%,#4ca16a,"rgb(76, 161, 106)",13054px,985px
background jazz,104%,#3aaa9d,"rgb(58, 170, 157)",14628px,896px
panamanian pop,104%,#bc8806,"rgb(188, 136, 6)",8151px,1074px
russian dance,104%,#b18e0a,"rgb(177, 142, 10)",4362px,958px
rock cristiano,104%,#ac820d,"rgb(172, 130, 13)",6008px,483px
modern blues,104%,#9d7d21,"rgb(157, 125, 33)",12006px,714px
classic schlager,104%,#9c8406,"rgb(156, 132, 6)",10781px,684px
italo dance,104%,#d17b3e,"rgb(209, 123, 62)",1248px,1040px
lo-fi sleep,104%,#3da8ce,"rgb(61, 168, 206)",13851px,846px
indonesian rock,104%,#b87714,"rgb(184, 119, 20)",6736px,440px
japanese alternative rock,104%,#ba7619,"rgb(186, 118, 25)",6254px,447px
dembow,104%,#c98206,"rgb(201, 130, 6)",4879px,1242px
hardcore punk,104%,#df452d,"rgb(223, 69, 45)",10585px,288px
dancefloor dnb,104%,#dc8757,"rgb(220, 135, 87)",1966px,610px
belgian pop,104%,#978e16,"rgb(151, 142, 22)",6673px,787px
shiver pop,104%,#9b8d41,"rgb(155, 141, 65)",6501px,681px
german soundtrack,104%,#429dc7,"rgb(66, 157, 199)",14837px,254px
modern southern rock,104%,#b57b11,"rgb(181, 123, 17)",9006px,457px
japanese emo,104%,#c16d31,"rgb(193, 109, 49)",7593px,300px
preschool children's music,104%,#709614,"rgb(112, 150, 20)",9089px,1168px
political hip hop,104%,#b6720d,"rgb(182, 114, 13)",11386px,995px
chutney,104%,#90821d,"rgb(144, 130, 29)",14801px,811px
czech hip hop,104%,#a78b0c,"rgb(167, 139, 12)",6057px,1042px
tecnobanda,104%,#a38005,"rgb(163, 128, 5)",11460px,1110px
dubstep,104%,#d67b41,"rgb(214, 123, 65)",4317px,771px
new jersey rap,104%,#ac7907,"rgb(172, 121, 7)",9675px,1046px
japanese soundtrack,104%,#5495b9,"rgb(84, 149, 185)",14555px,385px
deep tropical house,104%,#b09138,"rgb(176, 145, 56)",2929px,932px
trap mexicano,104%,#9e9105,"rgb(158, 145, 5)",5647px,1105px
houston rap,104%,#9f8706,"rgb(159, 135, 6)",6994px,1088px
post-disco,104%,#ab761a,"rgb(171, 118, 26)",5172px,1025px
slowed and reverb,104%,#719960,"rgb(113, 153, 96)",9225px,906px
philly indie,104%,#ae7936,"rgb(174, 121, 54)",9773px,354px
torch song,104%,#41960d,"rgb(65, 150, 13)",19859px,756px
double drumming,104%,#a27253,"rgb(162, 114, 83)",12588px,511px
rap genovese,104%,#ab9403,"rgb(171, 148, 3)",7687px,985px
laiko,104%,#948c05,"rgb(148, 140, 5)",12028px,775px
minimal techno,104%,#ae91c9,"rgb(174, 145, 201)",961px,1263px
dangdut,104%,#9b9410,"rgb(155, 148, 16)",7406px,674px
canadian punk,104%,#e3501d,"rgb(227, 80, 29)",6960px,260px
scorecore,104%,#6396b4,"rgb(99, 150, 180)",12413px,328px
egyptian pop,103%,#a68405,"rgb(166, 132, 5)",7037px,856px
alternative country,103%,#818d19,"rgb(129, 141, 25)",13565px,541px
bossa nova cover,103%,#56a98f,"rgb(86, 169, 143)",11474px,1107px
milan indie,103%,#a5871d,"rgb(165, 135, 29)",7061px,664px
musica sonorense,103%,#8f8e04,"rgb(143, 142, 4)",13207px,1083px
texas country,103%,#a18b02,"rgb(161, 139, 2)",7369px,516px
russelater,103%,#be8011,"rgb(190, 128, 17)",3543px,932px
ukrainian pop,103%,#a88812,"rgb(168, 136, 18)",5771px,787px
high vibe,103%,#699d52,"rgb(105, 157, 82)",11684px,724px
electronica argentina,103%,#9e8d39,"rgb(158, 141, 57)",5937px,744px
trap chileno,103%,#9d9705,"rgb(157, 151, 5)",6310px,1066px
spanish new wave,103%,#c07414,"rgb(192, 116, 20)",6352px,616px
jazz rap,103%,#a37932,"rgb(163, 121, 50)",6397px,1120px
deathcore,103%,#ea4351,"rgb(234, 67, 81)",6524px,208px
south carolina hip hop,103%,#9f9002,"rgb(159, 144, 2)",4117px,1064px
trancecore,103%,#e25e18,"rgb(226, 94, 24)",4042px,251px
classic hardstyle,103%,#e6653e,"rgb(230, 101, 62)",2439px,548px
gujarati pop,103%,#bb7804,"rgb(187, 120, 4)",12067px,724px
scottish rock,103%,#ac7b27,"rgb(172, 123, 39)",7909px,405px
epicore,103%,#8684c0,"rgb(134, 132, 192)",8354px,328px
gothic metal,103%,#c47036,"rgb(196, 112, 54)",6143px,208px
detroit trap,103%,#a48f01,"rgb(164, 143, 1)",5696px,1051px
hi-nrg,103%,#bd7723,"rgb(189, 119, 35)",2382px,902px
reggaeton mexicano,103%,#ac910b,"rgb(172, 145, 11)",3989px,1098px
small room,103%,#779145,"rgb(119, 145, 69)",13688px,511px
uk funky,103%,#b98839,"rgb(185, 136, 57)",2540px,1090px
pinoy r&b,103%,#88980b,"rgb(136, 152, 11)",7700px,944px
reggaeton chileno,103%,#b68d03,"rgb(182, 141, 3)",3469px,1109px
chillwave,103%,#a18967,"rgb(161, 137, 103)",6377px,592px
tropicalia,103%,#828b0e,"rgb(130, 139, 14)",13864px,858px
greek pop,103%,#af8602,"rgb(175, 134, 2)",7295px,742px
ectofolk,103%,#699809,"rgb(105, 152, 9)",14048px,631px
modern power pop,103%,#c1721c,"rgb(193, 114, 28)",6848px,334px
gothic symphonic metal,103%,#c67022,"rgb(198, 112, 34)",5687px,215px
zolo,103%,#9d7537,"rgb(157, 117, 55)",9885px,625px
drill francais,103%,#969602,"rgb(150, 150, 2)",6246px,1152px
